Name,Team,Role,Matchday,Vote
BARDI, Frosinone, P, 12, 6.0
BARDI, Frosinone, P, 13, 6.0
BARDI, Frosinone, P, 14, 6.0
BARDI, Frosinone, P, 15, 6.0
BARDI, Frosinone, P, 16, 6.0
BARDI, Frosinone, P, 17, 6.0
BARDI, Frosinone, P, 18, 6.0
BARDI, Frosinone, P, 19, 6.0
BARDI, Frosinone, P, 20, 6.0
BARDI, Frosinone, P, 21, 6.0
BARDI, Frosinone, P, 22, 6.0
BARDI, Frosinone, P, 23, 6.0
BARDI, Frosinone, P, 24, 6.0
BARDI, Frosinone, P, 25, 6.0
BARDI, Frosinone, P, 26, 6.0
BARDI, Frosinone, P, 27, 6.0
BARDI, Frosinone, P, 28, 6.0
BARDI, Frosinone, P, 29, 6.0
BARDI, Frosinone, P, 30, 6.0
BARDI, Frosinone, P, 31, 6.0
BARDI, Frosinone, P, 32, 6.0
BARDI, Frosinone, P, 33, 6.0
BARDI, Frosinone, P, 34, 6.0
BARDI, Frosinone, P, 35, 6.0
BARDI, Frosinone, P, 36, 2.5
BARDI, Frosinone, P, 37, 4.0
BARDI, Frosinone, P, 38, 6.0
BELEC, Sampdoria, P, 1, 6.0
BELEC, Sampdoria, P, 2, 6.0
BELEC, Sampdoria, P, 3, 6.0
BELEC, Sampdoria, P, 4, 6.0
BELEC, Sampdoria, P, 5, 6.0
BELEC, Sampdoria, P, 6, 6.0
BELEC, Sampdoria, P, 7, 6.0
BELEC, Sampdoria, P, 8, 6.0
BELEC, Sampdoria, P, 9, 6.0
BELEC, Sampdoria, P, 10, 6.0
BELEC, Sampdoria, P, 11, 6.0
BELEC, Sampdoria, P, 12, 6.0
BELEC, Sampdoria, P, 13, 6.0
BELEC, Sampdoria, P, 14, 6.0
BELEC, Sampdoria, P, 15, 6.0
BELEC, Sampdoria, P, 16, 6.0
BELEC, Sampdoria, P, 17, 6.0
BELEC, Sampdoria, P, 18, 6.0
BELEC, Sampdoria, P, 19, 6.0
BELEC, Sampdoria, P, 20, 6.0
BELEC, Sampdoria, P, 21, 6.0
BELEC, Sampdoria, P, 22, 6.0
BELEC, Sampdoria, P, 23, 6.0
BELEC, Sampdoria, P, 24, 6.0
BELEC, Sampdoria, P, 25, 6.0
BELEC, Sampdoria, P, 26, 6.0
BELEC, Sampdoria, P, 27, 6.0
BELEC, Sampdoria, P, 28, 6.0
BELEC, Sampdoria, P, 29, 6.0
BELEC, Sampdoria, P, 30, 6.0
BELEC, Sampdoria, P, 31, 6.0
BELEC, Sampdoria, P, 32, 6.0
BELEC, Sampdoria, P, 33, 6.0
BELEC, Sampdoria, P, 34, 6.0
BELEC, Sampdoria, P, 35, 6.0
BELEC, Sampdoria, P, 36, 6.0
BELEC, Sampdoria, P, 37, 6.0
BELEC, Sampdoria, P, 38, 6.0
BERISHA E, Atalanta, P, 1, 6.0
BERISHA E, Atalanta, P, 2, 6.0
BERISHA E, Atalanta, P, 3, 4.5
BERISHA E, Atalanta, P, 4, 6.0
BERISHA E, Atalanta, P, 5, 6.0
BERISHA E, Atalanta, P, 6, 6.0
BERISHA E, Atalanta, P, 7, 6.0
BERISHA E, Atalanta, P, 8, 6.0
BERISHA E, Atalanta, P, 9, 6.0
BERISHA E, Atalanta, P, 10, 6.0
BERISHA E, Atalanta, P, 11, 6.0
BERISHA E, Atalanta, P, 12, 5.0
BERISHA E, Atalanta, P, 13, 3.0
BERISHA E, Atalanta, P, 14, 4.0
BERISHA E, Atalanta, P, 15, 5.0
BERISHA E, Atalanta, P, 16, 7.0
BERISHA E, Atalanta, P, 17, 3.5
BERISHA E, Atalanta, P, 18, 4.5
BERISHA E, Atalanta, P, 19, 5.0
BERISHA E, Atalanta, P, 20, 6.0
BERISHA E, Atalanta, P, 21, 3.0
BERISHA E, Atalanta, P, 22, 6.0
BERISHA E, Atalanta, P, 23, 5.0
BERISHA E, Atalanta, P, 24, 2.0
BERISHA E, Atalanta, P, 25, 4.0
BERISHA E, Atalanta, P, 26, 6.0
BERISHA E, Atalanta, P, 27, 6.0
BERISHA E, Atalanta, P, 28, 6.0
BERISHA E, Atalanta, P, 29, 6.0
BERISHA E, Atalanta, P, 30, 6.0
BERISHA E, Atalanta, P, 31, 6.0
BERISHA E, Atalanta, P, 32, 6.0
BERISHA E, Atalanta, P, 33, 6.0
BERISHA E, Atalanta, P, 34, 6.0
BERISHA E, Atalanta, P, 35, 6.0
BERISHA E, Atalanta, P, 36, 6.0
BERISHA E, Atalanta, P, 37, 6.0
BERISHA E, Atalanta, P, 38, 6.0
BERNI, Inter, P, 1, 6.0
BERNI, Inter, P, 2, 6.0
BERNI, Inter, P, 3, 6.0
BERNI, Inter, P, 4, 6.0
BERNI, Inter, P, 5, 6.0
BERNI, Inter, P, 6, 6.0
BERNI, Inter, P, 7, 6.0
BERNI, Inter, P, 8, 6.0
BERNI, Inter, P, 9, 6.0
BERNI, Inter, P, 10, 6.0
BERNI, Inter, P, 11, 6.0
BERNI, Inter, P, 12, 6.0
BERNI, Inter, P, 13, 6.0
BERNI, Inter, P, 14, 6.0
BERNI, Inter, P, 15, 6.0
BERNI, Inter, P, 16, 6.0
BERNI, Inter, P, 17, 6.0
BERNI, Inter, P, 18, 6.0
BERNI, Inter, P, 19, 6.0
BERNI, Inter, P, 20, 6.0
BERNI, Inter, P, 21, 6.0
BERNI, Inter, P, 22, 6.0
BERNI, Inter, P, 23, 6.0
BERNI, Inter, P, 24, 6.0
BERNI, Inter, P, 25, 6.0
BERNI, Inter, P, 26, 6.0
BERNI, Inter, P, 27, 6.0
BERNI, Inter, P, 28, 6.0
BERNI, Inter, P, 29, 6.0
BERNI, Inter, P, 30, 6.0
BERNI, Inter, P, 31, 6.0
BERNI, Inter, P, 32, 6.0
BERNI, Inter, P, 33, 6.0
BERNI, Inter, P, 34, 6.0
BERNI, Inter, P, 35, 6.0
BERNI, Inter, P, 36, 6.0
BERNI, Inter, P, 37, 6.0
BERNI, Inter, P, 38, 6.0
CONSIGLI, Sassuolo, P, 1, 6.5
CONSIGLI, Sassuolo, P, 2, 4.5
CONSIGLI, Sassuolo, P, 3, 3.0
CONSIGLI, Sassuolo, P, 4, 4.5
CONSIGLI, Sassuolo, P, 5, 5.5
CONSIGLI, Sassuolo, P, 6, 7.5
CONSIGLI, Sassuolo, P, 7, 1.5
CONSIGLI, Sassuolo, P, 8, 3.5
CONSIGLI, Sassuolo, P, 9, 6.0
CONSIGLI, Sassuolo, P, 10, 4.5
CONSIGLI, Sassuolo, P, 11, 6.0
CONSIGLI, Sassuolo, P, 12, 5.5
CONSIGLI, Sassuolo, P, 13, 4.0
CONSIGLI, Sassuolo, P, 14, 6.5
CONSIGLI, Sassuolo, P, 15, 2.5
CONSIGLI, Sassuolo, P, 16, 6.0
CONSIGLI, Sassuolo, P, 17, 5.5
CONSIGLI, Sassuolo, P, 18, 3.5
CONSIGLI, Sassuolo, P, 19, -1.0
CONSIGLI, Sassuolo, P, 20, 6.5
CONSIGLI, Sassuolo, P, 21, 6.5
CONSIGLI, Sassuolo, P, 22, 5.5
CONSIGLI, Sassuolo, P, 23, 2.0
CONSIGLI, Sassuolo, P, 24, 2.5
CONSIGLI, Sassuolo, P, 25, 5.0
CONSIGLI, Sassuolo, P, 26, 2.5
CONSIGLI, Sassuolo, P, 27, 6.0
CONSIGLI, Sassuolo, P, 28, 1.0
CONSIGLI, Sassuolo, P, 29, 4.5
CONSIGLI, Sassuolo, P, 30, 10.0
CONSIGLI, Sassuolo, P, 31, 5.0
CONSIGLI, Sassuolo, P, 32, 9.5
CONSIGLI, Sassuolo, P, 33, 5.0
CONSIGLI, Sassuolo, P, 34, 10.0
CONSIGLI, Sassuolo, P, 35, 4.0
CONSIGLI, Sassuolo, P, 36, 4.5
CONSIGLI, Sassuolo, P, 37, 6.5
CONSIGLI, Sassuolo, P, 38, 6.0
CRAGNO, Cagliari, P, 1, 3.5
CRAGNO, Cagliari, P, 2, 4.5
CRAGNO, Cagliari, P, 3, 6.5
CRAGNO, Cagliari, P, 4, 6.0
CRAGNO, Cagliari, P, 5, 3.5
CRAGNO, Cagliari, P, 6, 10.0
CRAGNO, Cagliari, P, 7, 4.5
CRAGNO, Cagliari, P, 8, 7.0
CRAGNO, Cagliari, P, 9, 6.0
CRAGNO, Cagliari, P, 10, 5.0
CRAGNO, Cagliari, P, 11, 3.0
CRAGNO, Cagliari, P, 12, 4.5
CRAGNO, Cagliari, P, 13, 7.0
CRAGNO, Cagliari, P, 14, 6.5
CRAGNO, Cagliari, P, 15, 4.5
CRAGNO, Cagliari, P, 16, 5.0
CRAGNO, Cagliari, P, 17, 3.0
CRAGNO, Cagliari, P, 18, 6.5
CRAGNO, Cagliari, P, 19, 8.0
CRAGNO, Cagliari, P, 20, 3.5
CRAGNO, Cagliari, P, 21, 3.0
CRAGNO, Cagliari, P, 22, 5.5
CRAGNO, Cagliari, P, 23, 4.5
CRAGNO, Cagliari, P, 24, 5.0
CRAGNO, Cagliari, P, 25, 6.5
CRAGNO, Cagliari, P, 26, 4.5
CRAGNO, Cagliari, P, 27, 5.5
CRAGNO, Cagliari, P, 28, 5.5
CRAGNO, Cagliari, P, 29, 7.0
CRAGNO, Cagliari, P, 30, 4.5
CRAGNO, Cagliari, P, 31, 5.5
CRAGNO, Cagliari, P, 32, 6.5
CRAGNO, Cagliari, P, 33, 6.0
CRAGNO, Cagliari, P, 34, 3.5
CRAGNO, Cagliari, P, 35, 5.0
CRAGNO, Cagliari, P, 36, 4.5
CRAGNO, Cagliari, P, 37, 5.0
CRAGNO, Cagliari, P, 38, 4.0
DA COSTA, Bologna, P, 1, 6.0
DA COSTA, Bologna, P, 2, 6.0
DA COSTA, Bologna, P, 3, 6.0
DA COSTA, Bologna, P, 4, 6.0
DA COSTA, Bologna, P, 5, 6.0
DA COSTA, Bologna, P, 6, 6.0
DA COSTA, Bologna, P, 7, 6.0
DA COSTA, Bologna, P, 8, 6.0
DA COSTA, Bologna, P, 9, 6.0
DA COSTA, Bologna, P, 10, 6.0
DA COSTA, Bologna, P, 11, 6.0
DA COSTA, Bologna, P, 12, 6.0
DA COSTA, Bologna, P, 13, 6.0
DA COSTA, Bologna, P, 14, 6.0
DA COSTA, Bologna, P, 15, 6.0
DA COSTA, Bologna, P, 16, 6.0
DA COSTA, Bologna, P, 17, 6.0
DA COSTA, Bologna, P, 18, 6.0
DA COSTA, Bologna, P, 19, 6.0
DA COSTA, Bologna, P, 20, 6.0
DA COSTA, Bologna, P, 21, 6.0
DA COSTA, Bologna, P, 22, 6.0
DA COSTA, Bologna, P, 23, 6.0
DA COSTA, Bologna, P, 24, 6.0
DA COSTA, Bologna, P, 25, 6.0
DA COSTA, Bologna, P, 26, 6.0
DA COSTA, Bologna, P, 27, 6.0
DA COSTA, Bologna, P, 28, 6.0
DA COSTA, Bologna, P, 29, 6.0
DA COSTA, Bologna, P, 30, 6.0
DA COSTA, Bologna, P, 31, 6.0
DA COSTA, Bologna, P, 32, 6.0
DA COSTA, Bologna, P, 33, 6.0
DA COSTA, Bologna, P, 34, 6.0
DA COSTA, Bologna, P, 35, 6.0
DA COSTA, Bologna, P, 36, 6.0
DA COSTA, Bologna, P, 37, 6.0
DA COSTA, Bologna, P, 38, 6.0
DONNARUMMA A, Milan, P, 1, 6.0
DONNARUMMA A, Milan, P, 2, 6.0
DONNARUMMA A, Milan, P, 3, 6.0
DONNARUMMA A, Milan, P, 4, 6.0
DONNARUMMA A, Milan, P, 5, 6.0
DONNARUMMA A, Milan, P, 6, 6.0
DONNARUMMA A, Milan, P, 7, 6.0
DONNARUMMA A, Milan, P, 8, 6.0
DONNARUMMA A, Milan, P, 9, 6.0
DONNARUMMA A, Milan, P, 10, 6.0
DONNARUMMA A, Milan, P, 11, 6.0
DONNARUMMA A, Milan, P, 12, 6.0
DONNARUMMA A, Milan, P, 13, 6.0
DONNARUMMA A, Milan, P, 14, 6.0
DONNARUMMA A, Milan, P, 15, 6.0
DONNARUMMA A, Milan, P, 16, 6.0
DONNARUMMA A, Milan, P, 17, 6.0
DONNARUMMA A, Milan, P, 18, 6.0
DONNARUMMA A, Milan, P, 19, 6.0
DONNARUMMA A, Milan, P, 20, 6.0
DONNARUMMA A, Milan, P, 21, 6.0
DONNARUMMA A, Milan, P, 22, 6.0
DONNARUMMA A, Milan, P, 23, 6.0
DONNARUMMA A, Milan, P, 24, 6.0
DONNARUMMA A, Milan, P, 25, 6.0
DONNARUMMA A, Milan, P, 26, 6.0
DONNARUMMA A, Milan, P, 27, 6.0
DONNARUMMA A, Milan, P, 28, 6.0
DONNARUMMA A, Milan, P, 29, 6.0
DONNARUMMA A, Milan, P, 30, 6.0
DONNARUMMA A, Milan, P, 31, 6.0
DONNARUMMA A, Milan, P, 32, 6.0
DONNARUMMA A, Milan, P, 33, 6.0
DONNARUMMA A, Milan, P, 34, 6.0
DONNARUMMA A, Milan, P, 35, 6.0
DONNARUMMA A, Milan, P, 36, 6.0
DONNARUMMA A, Milan, P, 37, 6.0
DONNARUMMA A, Milan, P, 38, 6.0
DONNARUMMA G, Milan, P, 1, 6.0
DONNARUMMA G, Milan, P, 2, 2.5
DONNARUMMA G, Milan, P, 3, 5.0
DONNARUMMA G, Milan, P, 4, 4.5
DONNARUMMA G, Milan, P, 5, 4.0
DONNARUMMA G, Milan, P, 6, 6.0
DONNARUMMA G, Milan, P, 7, 6.0
DONNARUMMA G, Milan, P, 8, 5.0
DONNARUMMA G, Milan, P, 9, 3.5
DONNARUMMA G, Milan, P, 10, 4.0
DONNARUMMA G, Milan, P, 11, 6.5
DONNARUMMA G, Milan, P, 12, 4.0
DONNARUMMA G, Milan, P, 13, 5.0
DONNARUMMA G, Milan, P, 14, 5.0
DONNARUMMA G, Milan, P, 15, 8.0
DONNARUMMA G, Milan, P, 16, 6.0
DONNARUMMA G, Milan, P, 17, 4.5
DONNARUMMA G, Milan, P, 18, 7.0
DONNARUMMA G, Milan, P, 19, 6.0
DONNARUMMA G, Milan, P, 20, 7.0
